Image Id,Prompt ,Reference Answer,LLaVA-1.5-ft model response,MMHAL,GrodunginDINO errors,Aloha score,Avg Aloha scores,,
61534,Describe the image,"bridge, river, water, man, woman ","bridge, river, water",4,,"0.9999997615814209, 0.9999998807907104, 1.0000001192092896",0.999999921,,
61544,Describe the image,"goats, grass", goats,6,,1,1,0.886077223,4.428
61557,Describe the image,"sign, donuts","donuts, sign",5,,"1.0, 0.8295004367828369",0.914750218,,
61567,Describe the image,"sign, stop sign, school bus, bus","octagon, stop sign, school bus",4,,"0.9999997615814209, 0.22117644548416138, 0.9999999403953552",0.740392049,,
61578,Describe the image,"three boys, building, umbrella","umbrella, blue, three boys, building",4,,"0.6881298422813416, 1.0000001192092896, 1.0000001192092896, 0.0",0.67203252,,
61605,Describe the image,"dog, shoe, road","pug, dog, shoe",4,,"0.1278163492679596, 1.0, 0.9999998211860657",0.709272057,,
107905,Describe the image,"people, bar, ","wine tasting, wine, bar",4,,"0.9999997615814209, 0.23804447054862976, 0.0",0.412681411,,
107909,Describe the image,"table, cookie, dessert","food, dessert, cookie, plate, table",5,,"0.0, 1.0000001192092896, 0.0, 0.9999998807907104, 1.0",0.6,,
107910,Describe the image,"woman, fruit, produce, apple, banana, woman","fruit, produce, bananas, apples",4,,"1.0000001192092896, 0.7081226706504822, 1.0, 0.8607407808303833",0.892215893,,
107966,Describe the image,"washer, dryer, kitchen, window","washer, dryer, kitchen, window",5,,"0.9999999403953552, 0.9999997615814209, 0.9999998807907104, 1.0000001192092896",0.999999925,,
107968,Describe the image,"Cake, birthday, Chips, table","cake, birthday cake, chips",5,,"0.9999997615814209, 0.9999999403953552, 0.705170750617981",0.901723484,,
107993,Describe the image,motorcycle,"motorcycle show, motorcycles, harley davidson, honda",1,Honda,"1.0, 0.0, 0.0, 0.0",0.25,,
1159621,Describe the image,"ski slope, ski resort, skiers, skiing, flag","ski slope, ski resort, skiers, skiing",4,,"0.9999996423721313, 0.9999998807907104, 1.0000001192092896",0.999999881,,
1159741,Describe the image,"orange bus, bus, public transit, building","orange bus, bus, public transit",4,,"0.9999998807907104, 0.9999997019767761",0.999999791,,
150277,Describe the image,"Airport, plane, jet","airport, airplane, planes, jet",5,,"0.8450614213943481, 1.0, 0.9999997615814209",0.948353728,,
150291,Describe the image,"street sign, tree, street","street sign, street, street light, traffic sign, tree",4,,"0.0, 0.9999998807907104, 1.0, 0.9999999403953552, 0.5921821594238281",0.718436396,,
150294,Describe the image,"street, woman, trolley, sign","street, trolley, traffic, street sign",4,,"0.5801231265068054, 0.1972113847732544, 0.9999997615814209, 0.9999997615814209",0.694333509,,
150297,Describe the image,"monster truck, rally, racing, road, smoke","monster truck rally, monster truck, trucks, racing",4,,"1.000000238418579, 0.6306613683700562, 1.0000001192092896",0.876887242,,
150305,Describe the image,"TV, monitor, room","tv, computer, monitor",4,,"1.000000238418579, 1.0, 0.3379564881324768",0.779318909,,
150330,Describe the image,"bus, snow, red bus","bus, tour bus, columbia icefields, red",4,,"1.0000003576278687, 0.653269350528717, 0.0, 0.4725794792175293",0.531462297,,
150338,Describe the image,"living room, room, bed, bedroom, chair","living room, bedroom, den, living area",4,,"1.0000001192092896, 0.38193032145500183, 1.0",0.793976814,,
150351,Describe the image,"Airplane, airport, water, runway","airplane, airport, water, runway",5,,"1.0, 1.0000001192092896, 1.0, 1.000000238418579",1.000000089,,
150357,Describe the image,"giraffe, safari","giraffes, wild, safari",4,,1.000000119,1.000000119,,
150364,Describe the image,"truck, tow truck, road","tow truck, semi truck, tow, truck",4,,"0.9999998807907104, 0.8218682408332825",0.910934061,,
150382,Describe the image,"tennis, tennis court, kid, tree","tennis, tennis court, tennis net, kid",5,,"0.2879508137702942, 0.9999998807907104, 1.0, 1.0000001192092896",0.821987703,,
150390,Describe the image,"street, traffic, road, cars","traffic, street, road, cars",5,,"0.9999999403953552, 0.9999997615814209, 0.9999998211860657, 1.000000238418579",0.99999994,,
150392,Describe the image,"mountain, mountain range, bench","mountain range, mountains, mountain",5,,0.99999994,0.99999994,,
150414,Describe the image,"skiing, skiers, skis, snow","skiing, skiers, skis, snow",5,,"0.9999998807907104, 0.9999999403953552, 1.0",0.99999994,,
150481,Describe the image,"baseball, man, ball, children","baseball, baseball game, man throwing ball, children playing baseball",5,,"1.0, 1.0, 0.0, 1.000000238418579, 0.9999997019767761",0.799999988,,
150485,Describe the image,"airplane, ethopian, passenger plane, airport, clouds","airplane, ethiopian, passenger plane, airport",4,,"1.0, 0.9999998807907104, 0.9999996423721313",0.999999841,,
150494,Describe the image,"man, podium, people","man, speaking, podium, people",4,,"1.0000001192092896, 1.000000238418579, 0.0, 1.0",0.750000089,,
150497,Describe the image,"ambulance, pickup truck","ambulance, red, pickup",4,,"1.000000238418579, 0.686149001121521",0.84307462,,
1592567,Describe the image,"stop sign, octagon"," stop sign, octagon",5,,0.99999994,0.99999994,,
2315510,Describe the image,"bathtub, toilet, bathroom","bathtub, toilet, bathroom",5,,"1.0, 1.0, 0.0",0.666666667,,
2315644,Describe the image,"man, horse, petting","man, horse, petting",5,,"1.0, 1.0000001192092896",1.00000006,,
2315745,Describe the image,"pizza, cheese, egg","pizza, cheese, egg",5,,"0.9999998211860657, 1.000000238418579, 1.0",1.00000002,,
2315944,Describe the image,"bus, green, yellow","bus, green, yellow",5,,"0.0, 1.0000001192092896, 0.0",0.333333373,,
2315952,Describe the image,"boat, water, yacht, fishing ","boats, yacht, fishing, dock",4,,"0.23091140389442444, 0.9999997615814209, 0.9999998807907104, 1.0",0.807727762,,
2316055,Describe the image,"parade, people, fire engine","parade, fire truck, fire department, fire engine",4,,"0.3221157491207123, 1.000000238418579, 0.8579148054122925, 0.704170823097229",0.721050404,,
2316345,Describe the image,"sandwich, coffee, cup","sandwich, coffee, cup",5,,"1.0000001192092896, 0.9999998211860657, 1.0",0.99999998,,
2316365,Describe the image,"sheep, lamb, grass","sheep, lamb, grassy field",5,,"1.0, 0.9999998807907104, 0.6356301307678223",0.878543337,,
2316699,Describe the image,"double decker bus, bus, red bus","double decker bus, bus, red bus",5,,"0.9999996423721313, 1.000000238418579",0.99999994,,
2316738,Describe the image,"giraffes, zebras, trees, forest","giraffes, zebras, trees, forest",5,,"1.0000001192092896, 1.0, 0.9999998211860657, 0.9999998807907104",0.999999955,,
2317079,Describe the image,"elephant, circus, trainer, performance","elephant, circus, trainer, performance",5,,"1.0000001192092896, 0.9999998807907104, 0.9999996423721313, 0.9999998807907104",0.999999881,,
2317095,Describe the image,"skiing, skier, snow","cross country skiing, skier, skiing",5,,"0.8519084453582764, 0.9999998807907104",0.925954163,,
2317215,Describe the image,"elephant, herd","elephants, three elephants, herd",5,,0.999999821,0.999999821,,
2317324,Describe the image,"fountain, banana, statue","fountain, banana, statue",5,,"1.0, 1.0000001192092896, 1.0000001192092896",1.000000079,,
2317329,Describe the image,"oven,two people, bake","oven, open, two men, baking",4,,,0.85597306,,
2317340,Describe the image,"airport, runway, plane","airplanes, airport, runway",5,,"0.8450614213943481, 1.0, 1.0",0.948353807,,
2317362,Describe the image,"stove, kitchen, oven","stove, oven, antique, old",4,,"1.0, 0.0, 0.25950971245765686, 0.9999999403953552",0.564877413,,
2317406,Describe the image,"park, bench, woman, green skirt","park, bench, woman, green skirt",5,,"1.000000238418579, 0.9999996423721313, 0.9999998211860657, 0.9999999403953552",0.999999911,,
2317523,Describe the image,"dog, bed","dogs, cat, bed",1,Cat,"1.0, 1.0, 0.0",0.666666667,,
2317560,Describe the image,"dock, boat, water","dock, boats, water",5,,"1.0, 1.0000001192092896, 1.0",1.00000004,,
2317923,Describe the image,"kites, washington monument, flags","kites, washington monument, flags",5,,"0.9999998807907104, 1.000000238418579, 0.9999998807907104",1,,
2318000,Describe the image,"birds, sky, fly","pigeons, birds, flying",4,,"0.6760563850402832, 0.0",0.338028193,,
2318271,Describe the image,"two women in bed, brunette, blonde, drinking coffee","two women in bed, brunette, blonde, drinking coffee",5,,"0.9999997615814209, 1.0, 1.000000238418579, 1.0000001192092896, 1.0",1.000000024,,
2318302,Describe the image,"man, sleep, bed, airplane","man, sleeping, bed, airplane",5,,"1.0, 1.0000001192092896, 1.0",1.00000004,,
2318783,Describe the image,"stuffed animals, teddy bears, toys","stuffed animals, teddy bears, toys",5,,,1,,
